4,Alhama de Almería,CRISTOBAL,RODRIGUEZ,LOPEZ,13-06-2015,P.P.
4,Alicún,ANTONIO,NAVARRO,LOPEZ,13-06-2015,PSOE-A
4,Almería,RAMON,FERNANDEZ-PACHECO,MONTERREAL,28-11-2015,P.P.
4,Almócita,FRANCISCO,GARCIA,GARCIA,13-06-2015,PSOE-A
4,Alsodux,MANUEL NICOLAS,CUADRA,GONZALEZ,13-06-2015,PSOE-A
4,Antas,ISABEL,BELMONTE,SOLER,13-06-2015,P.P.
4,Arboleas,CRISTOBAL,GARCIA,GRANADOS,13-06-2015,PSOE-A
4,Armuña de Almanzora,JOSE,BERRUEZO,PADILLA,13-06-2015,PSOE-A
4,Bacares,JOSE,SEGURA,JIMENEZ,13-06-2015,PSOE-A
4,Bayárcal,JACINTO,NAVARRO,FERNANDEZ,13-06-2015,PSOE-A
4,Bayarque,ANGELES,MIRALLAS,JIMENEZ,13-06-2015,PSOE-A
